Disease1,Disease2,HPO-SIM
MONDO:0008007,MONDO:0011728,0.3736422267893772
MONDO:0008007,MONDO:0007272,0.3442220100551935
MONDO:0008007,MONDO:0010052,0.35553893029633343
MONDO:0008007,MONDO:0011734,0.3225665191080817
MONDO:0008007,MONDO:0009519,0.3433879246783613
MONDO:0008007,MONDO:0007847,0.4128265893615839
MONDO:0008007,MONDO:0007751,0.3908205826934016
MONDO:0008007,MONDO:0007184,0.2772036871539105
MONDO:0008007,MONDO:0008199,0.2336163334550281
MONDO:0008007,MONDO:0011491,0.28138321832706176
MONDO:0008007,MONDO:0007446,0.4261625582991205
MONDO:0008007,MONDO:0008314,0.5283847026818498
MONDO:0008007,MONDO:0007940,0.2348299523806852
MONDO:0008007,MONDO:0023122,0.4397607606299088
MONDO:0008007,MONDO:0009741,0.3162315519201832
MONDO:0008007,MONDO:0018690,0.334829596665404
MONDO:0008007,MONDO:0007794,0.2543016854966015
MONDO:0008007,MONDO:0009521,0.2376735658939073
MONDO:0008007,MONDO:0007334,0.4823455373611654
MONDO:0008007,MONDO:0009169,0.3772014527114652
MONDO:0008007,MONDO:0018919,0.3178324690882909
MONDO:0008007,MONDO:0010939,0.2551970508831401
MONDO:0008007,MONDO:0010940,0.43855580326666976
MONDO:0008007,MONDO:0010941,0.4417718211467073
MONDO:0008007,MONDO:0007754,0.5229208112190601
MONDO:0008007,MONDO:0007450,0.4561588075029053
MONDO:0008007,MONDO:0007488,0.2448805458184597
MONDO:0008007,MONDO:0008399,0.30667642263005657
MONDO:0008007,MONDO:0009412,0.3575965275201342
MONDO:0008007,MONDO:0007186,0.2943697534218295
MONDO:0008007,OMIM:254770,0.2993465316295879
MONDO:0008007,MONDO:0005298,0.4988655553081981
MONDO:0008007,MONDO:0007140,0.2931236454181708
MONDO:0008007,MONDO:0007797,0.21171300907692345
MONDO:0008007,MONDO:0009698,0.2101897011815983
MONDO:0008007,MONDO:0011506,0.20241505264659768
MONDO:0008007,MONDO:0009172,0.2276383302634146
MONDO:0008007,MONDO:0010182,0.3441070190258749
MONDO:0008007,MONDO:0008162,0.250266550175665
MONDO:0008007,MONDO:0009851,0.21578518589792267
MONDO:0008007,MONDO:0011513,0.2568673872174132
MONDO:0008007,MONDO:0020108,0.2909654366134275
MONDO:0008007,MONDO:0010108,0.2143606830154277
MONDO:0008007,MONDO:0008228,0.33423629784987385
MONDO:0008007,MONDO:0007452,0.33434591943845404
MONDO:0008007,MONDO:0007453,0.4131415037276421
