Disease1,Disease2,PHENO-SIM
145200,150600,0.0
145200,208085,0.0
145200,133690,0.0
145200,208550,0.0
145200,133600,0.17407765595569785
145200,205700,0.0
145200,167870,0.051231551957856
145200,600131,0.0
145200,602080,0.0
145200,140850,0.0
145200,190310,0.0
145200,237500,0.05083285677753489
145200,607682,0.0
145200,607685,0.0
145200,192200,0.0
145200,158280,0.0
145200,127750,0.04508348173337162
145200,174800,0.03734568434866355
145200,231900,0.0
145200,179600,0.0
145200,247640,0.0
145200,175510,0.0
145200,132300,0.0
145200,601367,0.0
145200,259500,0.0
145200,140600,0.0
145200,166300,0.06154574548966636
145200,604827,0.0
145200,130000,0.044151078568834795
145200,137800,0.0
145200,179830,0.0
145200,147540,0.0
145200,144010,0.0
145200,181460,0.0
145200,240400,0.0
145200,268220,0.0
145200,102300,0.04481107149482209
145200,182830,0.0
145200,239350,0.0
145200,153880,0.09245003270420486
145200,190400,0.0
145200,607628,0.0
145200,137750,0.0
145200,601665,0.0
145200,206200,0.0
145200,114580,0.07106690545187015
145200,250790,0.0
145200,602068,0.0
145200,160750,0.0
145200,308350,0.0
145200,121200,0.0
145200,121201,0.0
145200,175100,0.054372724782703684
145200,277440,0.0
145200,140300,0.0
145200,134520,0.0
145200,247200,0.042447635997800895
145200,157300,0.0
145200,114480,0.0
145200,110100,0.0
145200,607225,0.0
145200,311360,0.04845015831115093
145200,181000,0.0
145200,241519,0.0
145200,119500,0.06154574548966636
145200,208230,0.07106690545187015
145200,109543,0.0
145200,107650,0.0
145200,173200,0.21081851067789195
145200,189800,0.03840476863212843
145200,300494,0.0
145200,300491,0.0
145200,612595,0.0
145200,277460,0.0
145200,218200,0.0
145200,227300,0.0
145200,134500,0.0
145200,133239,0.0
145200,237450,0.0
145200,182280,0.048112522432468816
145200,200170,0.0
145200,246300,0.0
145200,608583,0.0
145200,607681,0.0
145200,151400,0.0
145200,203700,0.050443327230531826
145200,600631,0.0
145200,600634,0.09365858115816941
145200,600496,0.0
145200,208700,0.13608276348795434
145200,115645,0.0
145200,606798,0.0
145200,310468,0.0
145200,601042,0.0
145200,608033,0.0
145200,304900,0.0
145200,194200,0.0
145200,156190,0.0
145200,212350,0.0
145200,114500,0.0
145200,220120,0.0
145200,225755,0.0
145200,605021,0.0
145200,143880,0.0
145200,137580,0.0
145200,263800,0.054312544659356844
145200,266120,0.05383819020581655
145200,135550,0.0
145200,125700,0.0
145200,264120,0.0
145200,212112,0.07106690545187015
145200,145600,0.0
145200,160300,0.0
145200,600807,0.0
145200,607516,0.0
145200,107320,0.0
145200,126200,0.023609608232494285
145200,223350,0.0
145200,125853,0.0
145200,125852,0.0
145200,125851,0.0
145200,125850,0.0
145200,601004,0.0
145200,125320,0.0
145200,226150,0.0
145200,212130,0.0
145200,147530,0.1111111111111111
145200,270960,0.0
145200,181500,0.02498438963319538
145200,109100,0.0
145200,146500,0.05581455721859476
145200,109350,0.0
145200,132090,0.0
145200,267740,0.0
145200,148100,0.0
145200,104300,0.023318957740501977
145200,260570,0.0
145200,254200,0.0
145200,308205,0.1252448582170299
145200,166760,0.0
145200,275000,0.0
145200,600082,0.0
